λ,μ,p,n,MSE
1.0,6.2105263157894735,147,200,5,20.29306667391423
1.0,6.2105263157894735,194,200,5,15.009293456931774
1.0,6.2105263157894735,242,200,5,15.532759677927263
1.0,6.2105263157894735,289,200,5,25.143262029371446
1.0,6.2105263157894735,336,200,5,14.606650868712546
1.0,6.2105263157894735,384,200,5,19.110789582665976
1.0,6.2105263157894735,431,200,5,13.300541791954528
1.0,6.2105263157894735,478,200,5,17.769589467979788
1.0,6.2105263157894735,526,200,5,14.623435512961539
1.0,6.2105263157894735,573,200,5,14.03382913794154
1.0,6.2105263157894735,621,200,5,25.48659937018471
1.0,6.2105263157894735,668,200,5,19.099588295368537
1.0,6.2105263157894735,715,200,5,26.909711215308832
1.0,6.2105263157894735,763,200,5,19.098451634664286
1.0,6.2105263157894735,810,200,5,32.233963173182914
1.0,6.2105263157894735,857,200,5,20.294796380225858
1.0,6.2105263157894735,905,200,5,24.24093938778478
1.0,6.2105263157894735,952,200,5,28.329589478628865
1.0,6.2105263157894735,1000,200,5,18.306124702865795
6.2105263157894735,6.2105263157894735,100,200,5,2.317470904384767
6.2105263157894735,6.2105263157894735,147,200,5,40.393593673523725
6.2105263157894735,6.2105263157894735,194,200,5,9.252147708458741
6.2105263157894735,6.2105263157894735,242,200,5,15.053156950038815
6.2105263157894735,6.2105263157894735,289,200,5,11.713978192064268
6.2105263157894735,6.2105263157894735,336,200,5,22.16170519832937
6.2105263157894735,6.2105263157894735,384,200,5,20.53538353064463
6.2105263157894735,6.2105263157894735,431,200,5,27.015355214205258
6.2105263157894735,6.2105263157894735,478,200,5,16.89363884748769
6.2105263157894735,6.2105263157894735,526,200,5,17.897862190221424
6.2105263157894735,6.2105263157894735,573,200,5,16.12580378236434
6.2105263157894735,6.2105263157894735,621,200,5,23.448141084222662
6.2105263157894735,6.2105263157894735,668,200,5,14.318452819023003
6.2105263157894735,6.2105263157894735,715,200,5,17.006983330783953
6.2105263157894735,6.2105263157894735,763,200,5,21.76916232873918
6.2105263157894735,6.2105263157894735,810,200,5,25.846036517634055
6.2105263157894735,6.2105263157894735,857,200,5,20.241638230135454
6.2105263157894735,6.2105263157894735,905,200,5,29.790557448052944
6.2105263157894735,6.2105263157894735,952,200,5,26.245791670050885
6.2105263157894735,6.2105263157894735,1000,200,5,20.959504158344387
11.421052631578947,6.2105263157894735,100,200,5,3.2383376040643426
11.421052631578947,6.2105263157894735,147,200,5,16.457180751487616
11.421052631578947,6.2105263157894735,194,200,5,9.090417295504285
11.421052631578947,6.2105263157894735,242,200,5,9.762707657841206
11.421052631578947,6.2105263157894735,289,200,5,15.577507607356038
11.421052631578947,6.2105263157894735,336,200,5,17.06944873077417
11.421052631578947,6.2105263157894735,384,200,5,16.46192694704202
11.421052631578947,6.2105263157894735,431,200,5,21.467866506089862
11.421052631578947,6.2105263157894735,478,200,5,15.18348040347979
11.421052631578947,6.2105263157894735,526,200,5,17.41616022919597
11.421052631578947,6.2105263157894735,573,200,5,26.05867674592914
11.421052631578947,6.2105263157894735,621,200,5,23.84375843210961
11.421052631578947,6.2105263157894735,668,200,5,24.145072308360735
11.421052631578947,6.2105263157894735,715,200,5,30.212992064898348
11.421052631578947,6.2105263157894735,763,200,5,15.617247795304394
11.421052631578947,6.2105263157894735,810,200,5,21.637565517207882
