λ,μ,p,n,snr,MSE,null_risk
1.0,1.0,275.0,200.0,5.0,5.057821359527081,6.182169718452783
1.0,1.0,297.0,200.0,5.0,4.7235685339631255,6.058985367430073
1.0,1.0,322.0,200.0,5.0,4.420982332799485,6.048556287216406
1.0,1.0,348.0,200.0,5.0,4.24191404023192,6.100878497815064
1.0,1.0,377.0,200.0,5.0,4.1536298449953595,5.999757250690545
1.0,1.0,408.0,200.0,5.0,4.078745001203134,5.942135972319236
1.0,1.0,442.0,200.0,5.0,4.239659904585388,5.963358409528886
1.0,1.0,479.0,200.0,5.0,4.44005534036238,5.875005277424238
1.0,1.0,518.0,200.0,5.0,4.610643740076727,5.866602400338249
1.0,1.0,561.0,200.0,5.0,4.669923779338775,5.994445352585379
1.0,1.0,608.0,200.0,5.0,4.892856410081877,5.913488386497676
1.0,1.0,658.0,200.0,5.0,4.9082626116524,5.8452473711249056
1.0,1.0,712.0,200.0,5.0,5.029437722825035,5.7733516108764675
1.0,1.0,771.0,200.0,5.0,4.970344727755029,5.815257767165804
1.0,1.0,835.0,200.0,5.0,4.996225520483934,5.656116516487034
1.0,1.0,904.0,200.0,5.0,5.00780737116798,5.735064083846326
1.0,1.0,979.0,200.0,5.0,5.226528661142094,5.8434470557584355
1.0,1.0,1059.0,200.0,5.0,5.116524050568279,5.683747514372014
1.0,1.0,1147.0,200.0,5.0,5.1338871365141765,5.616505421757578
1.0,1.0,1242.0,200.0,5.0,5.072726154656352,5.5841231425683615
1.0,1.0,1344.0,200.0,5.0,5.161596862914131,5.605699134939644
1.0,1.0,1455.0,200.0,5.0,5.14227818611941,5.723149864561393
1.0,1.0,1576.0,200.0,5.0,4.918268512162535,5.526029198577185
1.0,1.0,1706.0,200.0,5.0,4.974630160767318,5.552325597660319
1.0,1.0,1847.0,200.0,5.0,4.950308327688968,5.367225551421311
1.0,1.0,2000.0,200.0,5.0,5.121075796087495,5.372587881886528
