λ,μ,p,n,snr,true_p,tau,MSE
1.0,1.0,63.0,200.0,1.0,100.0,0.0,2.2788428537904286
1.0,1.0,63.0,200.0,2.333333333333333,100.0,0.0,3.1562034322631
1.0,1.0,63.0,200.0,3.6666666666666665,100.0,0.0,4.002317365022473
1.0,1.0,63.0,200.0,5.0,100.0,0.0,4.833695675775632
1.0,1.0,68.0,200.0,1.0,100.0,0.0,2.159338295228197
1.0,1.0,68.0,200.0,2.333333333333333,100.0,0.0,2.853998391197202
1.0,1.0,68.0,200.0,3.6666666666666665,100.0,0.0,3.526555863412992
1.0,1.0,68.0,200.0,5.0,100.0,0.0,4.188689947724651
1.0,1.0,73.0,200.0,1.0,100.0,0.0,2.270987406494006
1.0,1.0,73.0,200.0,2.333333333333333,100.0,0.0,2.9787582610030023
1.0,1.0,73.0,200.0,3.6666666666666665,100.0,0.0,3.654567102831644
1.0,1.0,73.0,200.0,5.0,100.0,0.0,4.315302962371649
1.0,1.0,79.0,200.0,1.0,100.0,0.0,2.387886941171877
1.0,1.0,79.0,200.0,2.333333333333333,100.0,0.0,3.041920722522685
1.0,1.0,79.0,200.0,3.6666666666666665,100.0,0.0,3.6646381378542414
1.0,1.0,79.0,200.0,5.0,100.0,0.0,4.272587051744003
1.0,1.0,85.0,200.0,1.0,100.0,0.0,2.2123164324853124
1.0,1.0,85.0,200.0,2.333333333333333,100.0,0.0,2.622873667366261
1.0,1.0,85.0,200.0,3.6666666666666665,100.0,0.0,3.0197250345808424
1.0,1.0,85.0,200.0,5.0,100.0,0.0,3.410112844489092
1.0,1.0,92.0,200.0,1.0,100.0,0.0,2.183194392821532
1.0,1.0,92.0,200.0,2.333333333333333,100.0,0.0,2.414180052937227
1.0,1.0,92.0,200.0,3.6666666666666665,100.0,0.0,2.6357193255008724
1.0,1.0,92.0,200.0,5.0,100.0,0.0,2.8528037712146768
1.0,1.0,100.0,200.0,1.0,100.0,0.0,2.019663124304191
1.0,1.0,100.0,200.0,2.333333333333333,100.0,0.0,2.019663124304192
1.0,1.0,100.0,200.0,3.6666666666666665,100.0,0.0,2.019663124304192
1.0,1.0,100.0,200.0,5.0,100.0,0.0,2.019663124304192
