λ,μ,p,true_p,n,tau,snr,MSE
1.0,1.0,92.0,400.0,200.0,0.0,1.0,3.907812041917605
1.0,1.0,92.0,400.0,200.0,1.3183673469387756,1.0,2.0139721617328155
1.0,1.0,100.0,400.0,200.0,0.0,1.0,3.957303049815323
1.0,1.0,100.0,400.0,200.0,1.3183673469387756,1.0,2.001544831016977
1.0,1.0,108.0,400.0,200.0,0.0,1.0,4.150924190324079
1.0,1.0,108.0,400.0,200.0,1.3183673469387756,1.0,1.9953647438639983
1.0,1.0,116.0,400.0,200.0,0.0,1.0,4.3962730784111
1.0,1.0,116.0,400.0,200.0,1.7244897959183674,1.0,1.9595555610319542
1.0,1.0,126.0,400.0,200.0,0.0,1.0,5.214426275911126
1.0,1.0,126.0,400.0,200.0,1.7244897959183674,1.0,1.9416691562056823
1.0,1.0,136.0,400.0,200.0,0.0,1.0,6.440279157152682
1.0,1.0,136.0,400.0,200.0,1.7244897959183674,1.0,1.9491962334035775
1.0,1.0,147.0,400.0,200.0,0.0,1.0,7.380079136171179
1.0,1.0,147.0,400.0,200.0,2.1306122448979594,1.0,1.936138681027227
1.0,1.0,158.0,400.0,200.0,0.0,1.0,8.891021575499096
1.0,1.0,158.0,400.0,200.0,2.1306122448979594,1.0,1.9505016247226412
1.0,1.0,171.0,400.0,200.0,0.0,1.0,16.628195703329965
1.0,1.0,171.0,400.0,200.0,2.1306122448979594,1.0,1.9448023656026034
1.0,1.0,185.0,400.0,200.0,0.0,1.0,25.394615416684463
1.0,1.0,185.0,400.0,200.0,2.536734693877551,1.0,1.9223777056891609
1.0,1.0,200.0,400.0,200.0,0.0,1.0,549.976774511083
1.0,1.0,200.0,400.0,200.0,1.7244897959183674,1.0,1.9328244848033094
1.0,1.0,216.0,400.0,200.0,0.0,1.0,20.326256996865588
1.0,1.0,216.0,400.0,200.0,2.1306122448979594,1.0,1.8979841700381734
1.0,1.0,234.0,400.0,200.0,0.0,1.0,8.436249425342133
1.0,1.0,234.0,400.0,200.0,2.1306122448979594,1.0,1.9083035091943918
1.0,1.0,254.0,400.0,200.0,0.0,1.0,6.350740115774674
1.0,1.0,254.0,400.0,200.0,1.7244897959183674,1.0,1.906021655542398
1.0,1.0,275.0,400.0,200.0,0.0,1.0,4.825965526625416
1.0,1.0,275.0,400.0,200.0,1.3183673469387756,1.0,1.9179100452617353
1.0,1.0,297.0,400.0,200.0,0.0,1.0,4.300200209787917
1.0,1.0,297.0,400.0,200.0,1.3183673469387756,1.0,1.9059988043012426
1.0,1.0,322.0,400.0,200.0,0.0,1.0,3.702636599066448
1.0,1.0,322.0,400.0,200.0,1.7244897959183674,1.0,1.8472560700685425
1.0,1.0,348.0,400.0,200.0,0.0,1.0,3.040966299555848
1.0,1.0,348.0,400.0,200.0,1.3183673469387756,1.0,1.832698194414665
1.0,1.0,377.0,400.0,200.0,0.0,1.0,2.6947820006361756
1.0,1.0,377.0,400.0,200.0,1.3183673469387756,1.0,1.8107641983022729
1.0,1.0,408.0,400.0,200.0,0.0,1.0,2.5194580341622017
1.0,1.0,408.0,400.0,200.0,1.7244897959183674,1.0,1.7773832000617857
1.0,1.0,442.0,400.0,200.0,0.0,1.0,2.428039753982455
1.0,1.0,442.0,400.0,200.0,1.7244897959183674,1.0,1.791143200529596
1.0,1.0,479.0,400.0,200.0,0.0,1.0,2.3426259305263675
1.0,1.0,479.0,400.0,200.0,2.1306122448979594,1.0,1.8029633137843855
1.0,1.0,518.0,400.0,200.0,0.0,1.0,2.272903817652184
1.0,1.0,518.0,400.0,200.0,1.7244897959183674,1.0,1.8265080992438394
1.0,1.0,561.0,400.0,200.0,0.0,1.0,2.265795675469288
1.0,1.0,561.0,400.0,200.0,1.7244897959183674,1.0,1.8526228809698253
1.0,1.0,608.0,400.0,200.0,0.0,1.0,2.2216333553007597
1.0,1.0,608.0,400.0,200.0,1.3183673469387756,1.0,1.8933858367542575
1.0,1.0,658.0,400.0,200.0,0.0,1.0,2.167670754239089
1.0,1.0,658.0,400.0,200.0,0.5061224489795918,1.0,2.001570882847653
1.0,1.0,712.0,400.0,200.0,0.0,1.0,2.135577019854884
1.0,1.0,712.0,400.0,200.0,0.1,1.0,2.099904654761857
1.0,1.0,771.0,400.0,200.0,0.0,1.0,2.1200027169476705
1.0,1.0,771.0,400.0,200.0,0.5061224489795918,1.0,2.0115801170531777
1.0,1.0,835.0,400.0,200.0,0.0,1.0,2.1118229555167
1.0,1.0,835.0,400.0,200.0,0.5061224489795918,1.0,2.0178424911139126
1.0,1.0,904.0,400.0,200.0,0.0,1.0,2.1033248237693454
1.0,1.0,904.0,400.0,200.0,1.7244897959183674,1.0,1.9395494829754811
1.0,1.0,979.0,400.0,200.0,0.0,1.0,2.082918458532298
1.0,1.0,979.0,400.0,200.0,1.7244897959183674,1.0,1.9441275647282819
1.0,1.0,1059.0,400.0,200.0,0.0,1.0,2.067170785373509
1.0,1.0,1059.0,400.0,200.0,2.536734693877551,1.0,1.9293718665826
1.0,1.0,1147.0,400.0,200.0,0.0,1.0,2.0608276912928316
1.0,1.0,1147.0,400.0,200.0,1.3183673469387756,1.0,1.9709785466084122
1.0,1.0,1242.0,400.0,200.0,0.0,1.0,2.0526004478125115
1.0,1.0,1242.0,400.0,200.0,0.9122448979591836,1.0,1.9920326924469016
1.0,1.0,1344.0,400.0,200.0,0.0,1.0,2.0366159720462926
1.0,1.0,1344.0,400.0,200.0,0.1,1.0,2.0294934117078207
1.0,1.0,1455.0,400.0,200.0,0.0,1.0,2.02657451155584
1.0,1.0,1455.0,400.0,200.0,0.1,1.0,2.020664203293904
1.0,1.0,1576.0,400.0,200.0,0.0,1.0,2.024154760716049
1.0,1.0,1576.0,400.0,200.0,1.3183673469387756,1.0,1.9770183486701878
1.0,1.0,1706.0,400.0,200.0,0.0,1.0,2.0195215876823585
1.0,1.0,1706.0,400.0,200.0,2.1306122448979594,1.0,1.9641740813133157
1.0,1.0,1847.0,400.0,200.0,0.0,1.0,2.0132213632327924
1.0,1.0,1847.0,400.0,200.0,1.3183673469387756,1.0,1.9799280114305453
1.0,1.0,2000.0,400.0,200.0,0.0,1.0,2.0032314385016177
1.0,1.0,2000.0,400.0,200.0,0.1,1.0,2.000530480320435
1.0,1.0,20.0,400.0,200.0,0.0,2.333333333333333,3.910528479420665
1.0,1.0,20.0,400.0,200.0,1.7244897959183674,2.333333333333333,3.3607721877379393
