λ,μ,p,n,tau,snr,MSE
1.0,1.0,348.0,200.0,-3.0,1.0,2025.91880581377
1.0,1.0,348.0,200.0,-4.0,1.0,403.28579706393725
1.0,1.0,348.0,200.0,-5.0,1.0,588.2495584656797
1.0,1.0,348.0,200.0,-6.0,1.0,3.4267101239481823
1.0,1.0,348.0,200.0,-7.0,1.0,2.1324981443871054
1.0,1.0,348.0,200.0,-8.0,1.0,1.7511802258175841
1.0,1.0,377.0,200.0,0.0,1.0,1.5639421134780709
1.0,1.0,377.0,200.0,-1.0,1.0,22876.127253850274
1.0,1.0,377.0,200.0,-2.0,1.0,361.39159619333986
1.0,1.0,377.0,200.0,-3.0,1.0,5423.466414256609
1.0,1.0,377.0,200.0,-4.0,1.0,69.28143976738662
1.0,1.0,377.0,200.0,-5.0,1.0,91.26849836141199
1.0,1.0,377.0,200.0,-6.0,1.0,4.961377745529316
1.0,1.0,377.0,200.0,-7.0,1.0,2.3261356028638804
1.0,1.0,377.0,200.0,-8.0,1.0,1.816523482091551
1.0,1.0,408.0,200.0,0.0,1.0,1.4208471229246533
1.0,1.0,408.0,200.0,-1.0,1.0,157.81919484914042
1.0,1.0,408.0,200.0,-2.0,1.0,397.23601177331557
1.0,1.0,408.0,200.0,-3.0,1.0,1566.9872932173184
1.0,1.0,408.0,200.0,-4.0,1.0,161.74700494179697
1.0,1.0,408.0,200.0,-5.0,1.0,82.90485902389766
1.0,1.0,408.0,200.0,-6.0,1.0,20.01074375067792
1.0,1.0,408.0,200.0,-7.0,1.0,2.532242210509154
1.0,1.0,408.0,200.0,-8.0,1.0,1.8661329528506758
1.0,1.0,442.0,200.0,0.0,1.0,1.3412553076635776
1.0,1.0,442.0,200.0,-1.0,1.0,259.40227284564907
1.0,1.0,442.0,200.0,-2.0,1.0,367.6714721857023
1.0,1.0,442.0,200.0,-3.0,1.0,661.446143609467
1.0,1.0,442.0,200.0,-4.0,1.0,989.9287967556731
1.0,1.0,442.0,200.0,-5.0,1.0,120.836908864135
1.0,1.0,442.0,200.0,-6.0,1.0,73.38341770374895
1.0,1.0,442.0,200.0,-7.0,1.0,2.731791068021051
1.0,1.0,442.0,200.0,-8.0,1.0,1.8926316646935126
1.0,1.0,479.0,200.0,0.0,1.0,1.2567829219495616
1.0,1.0,479.0,200.0,-1.0,1.0,54.42873895868417
1.0,1.0,479.0,200.0,-2.0,1.0,9738.225761659372
1.0,1.0,479.0,200.0,-3.0,1.0,83.97001541386857
1.0,1.0,479.0,200.0,-4.0,1.0,263.70121352391914
1.0,1.0,479.0,200.0,-5.0,1.0,36.07106978594618
1.0,1.0,479.0,200.0,-6.0,1.0,30.63508319317666
1.0,1.0,479.0,200.0,-7.0,1.0,3.2999730143264525
1.0,1.0,479.0,200.0,-8.0,1.0,2.038918348920107
1.0,1.0,518.0,200.0,0.0,1.0,1.1971144585708273
1.0,1.0,518.0,200.0,-1.0,1.0,1894.8641871959812
1.0,1.0,518.0,200.0,-2.0,1.0,321.63086276250516
1.0,1.0,518.0,200.0,-3.0,1.0,141.6273085240411
1.0,1.0,518.0,200.0,-4.0,1.0,257.7112192845491
1.0,1.0,518.0,200.0,-5.0,1.0,638.8770043255925
1.0,1.0,518.0,200.0,-6.0,1.0,1055.9972480278514
1.0,1.0,518.0,200.0,-7.0,1.0,4.478929439383702
1.0,1.0,518.0,200.0,-8.0,1.0,2.199810840909498
1.0,1.0,561.0,200.0,0.0,1.0,1.1706371994841855
1.0,1.0,561.0,200.0,-1.0,1.0,74.03989112720492
1.0,1.0,561.0,200.0,-2.0,1.0,492.6445346232997
1.0,1.0,561.0,200.0,-3.0,1.0,137.63272516208835
1.0,1.0,561.0,200.0,-4.0,1.0,44.81929191878337
1.0,1.0,561.0,200.0,-5.0,1.0,50.063901355549376
1.0,1.0,561.0,200.0,-6.0,1.0,5398.464432059544
1.0,1.0,561.0,200.0,-7.0,1.0,6.144871853509687
1.0,1.0,561.0,200.0,-8.0,1.0,2.4062171910508536
