λ,μ,p,true_p,n,snr,MSE
1.0,1.0,126.0,400.0,200.0,2.333333333333333,6.7342788494612495
1.0,1.0,136.0,400.0,200.0,2.333333333333333,7.836210825245714
1.0,1.0,147.0,400.0,200.0,2.333333333333333,9.722301989531566
1.0,1.0,158.0,400.0,200.0,2.333333333333333,11.229127110026493
1.0,1.0,171.0,400.0,200.0,2.333333333333333,11.577716141038293
1.0,1.0,185.0,400.0,200.0,2.333333333333333,28.68970353767121
1.0,1.0,200.0,400.0,200.0,2.333333333333333,1720.0258574539691
1.0,1.0,216.0,400.0,200.0,2.333333333333333,31.445701247707685
1.0,1.0,234.0,400.0,200.0,2.333333333333333,15.885214380022633
1.0,1.0,254.0,400.0,200.0,2.333333333333333,7.892490340365193
1.0,1.0,275.0,400.0,200.0,2.333333333333333,6.238701072090175
1.0,1.0,297.0,400.0,200.0,2.333333333333333,5.336126882363409
1.0,1.0,322.0,400.0,200.0,2.333333333333333,4.668870663458448
1.0,1.0,348.0,400.0,200.0,2.333333333333333,3.9682604334128104
1.0,1.0,377.0,400.0,200.0,2.333333333333333,3.639271317598878
1.0,1.0,408.0,400.0,200.0,2.333333333333333,3.1644475499158116
1.0,1.0,442.0,400.0,200.0,2.333333333333333,3.102973317893726
1.0,1.0,479.0,400.0,200.0,2.333333333333333,3.0528971812041474
1.0,1.0,518.0,400.0,200.0,2.333333333333333,3.056269445271806
1.0,1.0,561.0,400.0,200.0,2.333333333333333,3.0383277219206706
1.0,1.0,608.0,400.0,200.0,2.333333333333333,3.037754222095023
1.0,1.0,658.0,400.0,200.0,2.333333333333333,3.0486216279897187
1.0,1.0,712.0,400.0,200.0,2.333333333333333,3.0658290037935627
1.0,1.0,771.0,400.0,200.0,2.333333333333333,3.080718177929802
1.0,1.0,835.0,400.0,200.0,2.333333333333333,3.0719436842545527
1.0,1.0,904.0,400.0,200.0,2.333333333333333,3.0876261218531873
1.0,1.0,979.0,400.0,200.0,2.333333333333333,3.1176621766830634
1.0,1.0,1059.0,400.0,200.0,2.333333333333333,3.1168027808264207
1.0,1.0,1147.0,400.0,200.0,2.333333333333333,3.1300126508190367
1.0,1.0,1242.0,400.0,200.0,2.333333333333333,3.1648834821472263
1.0,1.0,1344.0,400.0,200.0,2.333333333333333,3.17862888707407
1.0,1.0,1455.0,400.0,200.0,2.333333333333333,3.1781332531952247
1.0,1.0,1576.0,400.0,200.0,2.333333333333333,3.1983734413635645
1.0,1.0,1706.0,400.0,200.0,2.333333333333333,3.2380791728834724
1.0,1.0,1847.0,400.0,200.0,2.333333333333333,3.215478977533962
1.0,1.0,2000.0,400.0,200.0,2.333333333333333,3.254133240075675
1.0,1.0,20.0,400.0,200.0,3.6666666666666665,4.718436533054829
1.0,1.0,21.0,400.0,200.0,3.6666666666666665,4.721292454684022
1.0,1.0,23.0,400.0,200.0,3.6666666666666665,4.843049886192479
1.0,1.0,25.0,400.0,200.0,3.6666666666666665,4.852542117899865
1.0,1.0,27.0,400.0,200.0,3.6666666666666665,4.937847865652453
1.0,1.0,29.0,400.0,200.0,3.6666666666666665,4.918344101056925
1.0,1.0,31.0,400.0,200.0,3.6666666666666665,4.880185185483323
1.0,1.0,34.0,400.0,200.0,3.6666666666666665,4.947241977428444
1.0,1.0,36.0,400.0,200.0,3.6666666666666665,4.972807940074217
1.0,1.0,39.0,400.0,200.0,3.6666666666666665,5.132364848538583
1.0,1.0,43.0,400.0,200.0,3.6666666666666665,5.1275683561045415
1.0,1.0,46.0,400.0,200.0,3.6666666666666665,5.10763458692841
1.0,1.0,50.0,400.0,200.0,3.6666666666666665,5.0663161164285855
1.0,1.0,54.0,400.0,200.0,3.6666666666666665,5.345402922170299
1.0,1.0,58.0,400.0,200.0,3.6666666666666665,5.432260422674947
1.0,1.0,63.0,400.0,200.0,3.6666666666666665,5.669389102102506
1.0,1.0,68.0,400.0,200.0,3.6666666666666665,6.02735750132038
1.0,1.0,73.0,400.0,200.0,3.6666666666666665,6.068852799180832
1.0,1.0,79.0,400.0,200.0,3.6666666666666665,6.321578841868597
1.0,1.0,85.0,400.0,200.0,3.6666666666666665,6.701400637603327
1.0,1.0,92.0,400.0,200.0,3.6666666666666665,6.8119357590215905
1.0,1.0,100.0,400.0,200.0,3.6666666666666665,6.988817412828421
1.0,1.0,108.0,400.0,200.0,3.6666666666666665,7.192061676214179
1.0,1.0,116.0,400.0,200.0,3.6666666666666665,8.765560288157985
1.0,1.0,126.0,400.0,200.0,3.6666666666666665,9.460568991148795
1.0,1.0,136.0,400.0,200.0,3.6666666666666665,11.005388361503996
1.0,1.0,147.0,400.0,200.0,3.6666666666666665,13.524233936677934
1.0,1.0,158.0,400.0,200.0,3.6666666666666665,15.571631279895536
1.0,1.0,171.0,400.0,200.0,3.6666666666666665,16.555807817990157
1.0,1.0,185.0,400.0,200.0,3.6666666666666665,36.67700620825403
1.0,1.0,200.0,400.0,200.0,3.6666666666666665,1793.8116577688218
1.0,1.0,216.0,400.0,200.0,3.6666666666666665,39.21311483266943
1.0,1.0,234.0,400.0,200.0,3.6666666666666665,19.060059291119774
1.0,1.0,254.0,400.0,200.0,3.6666666666666665,9.783416361757299
1.0,1.0,275.0,400.0,200.0,3.6666666666666665,7.797589422227591
1.0,1.0,297.0,400.0,200.0,3.6666666666666665,6.58589277823243
1.0,1.0,322.0,400.0,200.0,3.6666666666666665,5.733919461580455
1.0,1.0,348.0,400.0,200.0,3.6666666666666665,4.872610170480411
1.0,1.0,377.0,400.0,200.0,3.6666666666666665,4.466180520591668
1.0,1.0,408.0,400.0,200.0,3.6666666666666665,3.8742080997522628
1.0,1.0,442.0,400.0,200.0,3.6666666666666665,3.86419299083107
1.0,1.0,479.0,400.0,200.0,3.6666666666666665,3.861932183087122
1.0,1.0,518.0,400.0,200.0,3.6666666666666665,3.9103827871055423
1.0,1.0,561.0,400.0,200.0,3.6666666666666665,3.9228552319056615
1.0,1.0,608.0,400.0,200.0,3.6666666666666665,3.9580587191298524
1.0,1.0,658.0,400.0,200.0,3.6666666666666665,4.003874025557856
1.0,1.0,712.0,400.0,200.0,3.6666666666666665,4.055055138486261
1.0,1.0,771.0,400.0,200.0,3.6666666666666665,4.095576386755265
1.0,1.0,835.0,400.0,200.0,3.6666666666666665,4.105290784254543
1.0,1.0,904.0,400.0,200.0,3.6666666666666665,4.144346311500525
1.0,1.0,979.0,400.0,200.0,3.6666666666666665,4.197615512734362
1.0,1.0,1059.0,400.0,200.0,3.6666666666666665,4.212722569394349
1.0,1.0,1147.0,400.0,200.0,3.6666666666666665,4.252363236304231
