ρ,p,n,snr,MSE
0.5,322.0,200.0,2.333333333333333,3.6850366998396638
0.5,348.0,200.0,2.333333333333333,3.63325023545558
0.5,377.0,200.0,2.333333333333333,3.596201382935785
0.5,408.0,200.0,2.333333333333333,3.571552481827838
0.5,442.0,200.0,2.333333333333333,3.6306044111560754
0.5,479.0,200.0,2.333333333333333,3.618167526173065
0.5,518.0,200.0,2.333333333333333,3.6477990564806593
0.5,561.0,200.0,2.333333333333333,3.699221213539107
0.5,608.0,200.0,2.333333333333333,3.6356963735101564
0.5,658.0,200.0,2.333333333333333,3.8717279038635026
0.5,712.0,200.0,2.333333333333333,4.029662156692032
0.5,771.0,200.0,2.333333333333333,3.9726893191591635
0.5,835.0,200.0,2.333333333333333,4.087214864826719
0.5,904.0,200.0,2.333333333333333,4.141069706213915
0.5,979.0,200.0,2.333333333333333,4.112723996547061
0.5,1059.0,200.0,2.333333333333333,4.25079108816509
0.5,1147.0,200.0,2.333333333333333,4.359455404928744
0.5,1242.0,200.0,2.333333333333333,4.504221905950901
0.5,1344.0,200.0,2.333333333333333,4.616389539408583
0.5,1455.0,200.0,2.333333333333333,4.584162471304636
0.5,1576.0,200.0,2.333333333333333,4.694557925822331
0.5,1706.0,200.0,2.333333333333333,4.867229667435437
0.5,1847.0,200.0,2.333333333333333,4.865863625491339
0.5,2000.0,200.0,2.333333333333333,4.801077956328315
0.5,20.0,200.0,3.6666666666666665,0.18892833073817092
0.5,21.0,200.0,3.6666666666666665,0.21004639032788483
0.5,23.0,200.0,3.6666666666666665,0.21088110220714743
0.5,25.0,200.0,3.6666666666666665,0.21019560060869463
0.5,27.0,200.0,3.6666666666666665,0.21620533686617577
0.5,29.0,200.0,3.6666666666666665,0.22000919096678082
0.5,31.0,200.0,3.6666666666666665,0.2285407939085089
0.5,34.0,200.0,3.6666666666666665,0.25818095070142116
0.5,36.0,200.0,3.6666666666666665,0.2591383207852497
0.5,39.0,200.0,3.6666666666666665,0.35192245412643297
0.5,43.0,200.0,3.6666666666666665,0.3775730718595991
0.5,46.0,200.0,3.6666666666666665,0.4249294806003514
0.5,50.0,200.0,3.6666666666666665,0.4548567379465953
0.5,54.0,200.0,3.6666666666666665,0.46824539682985716
0.5,58.0,200.0,3.6666666666666665,0.6308937022009377
0.5,63.0,200.0,3.6666666666666665,0.7333339115771228
0.5,68.0,200.0,3.6666666666666665,0.7883301799713345
0.5,73.0,200.0,3.6666666666666665,0.8161452678389242
0.5,79.0,200.0,3.6666666666666665,0.9650613715219796
0.5,85.0,200.0,3.6666666666666665,1.1289730583175168
0.5,92.0,200.0,3.6666666666666665,1.277209476821874
0.5,100.0,200.0,3.6666666666666665,1.3862476345195613
0.5,108.0,200.0,3.6666666666666665,1.6883961827871585
0.5,116.0,200.0,3.6666666666666665,2.0774461079143838
0.5,126.0,200.0,3.6666666666666665,2.5640306615762487
0.5,136.0,200.0,3.6666666666666665,2.7976148828467333
0.5,147.0,200.0,3.6666666666666665,2.9736330854233666
0.5,158.0,200.0,3.6666666666666665,3.937620177729189
0.5,171.0,200.0,3.6666666666666665,7.700957827887744
0.5,185.0,200.0,3.6666666666666665,13.470846169273514
0.5,200.0,200.0,3.6666666666666665,280.8011844118943
0.5,216.0,200.0,3.6666666666666665,13.77184356905061
0.5,234.0,200.0,3.6666666666666665,11.183246106326031
0.5,254.0,200.0,3.6666666666666665,6.590160321037458
0.5,275.0,200.0,3.6666666666666665,5.950784509819269
0.5,297.0,200.0,3.6666666666666665,4.739440038861837
0.5,322.0,200.0,3.6666666666666665,4.499726878831635
0.5,348.0,200.0,3.6666666666666665,4.5372166368032145
0.5,377.0,200.0,3.6666666666666665,4.635689043766925
0.5,408.0,200.0,3.6666666666666665,4.6895218955403255
0.5,442.0,200.0,3.6666666666666665,4.923824387935595
0.5,479.0,200.0,3.6666666666666665,5.006762118623096
0.5,518.0,200.0,3.6666666666666665,5.129341596057845
0.5,561.0,200.0,3.6666666666666665,5.2557347988816066
0.5,608.0,200.0,3.6666666666666665,5.204469375383342
0.5,658.0,200.0,3.6666666666666665,5.629059158658252
0.5,712.0,200.0,3.6666666666666665,5.912511646607693
0.5,771.0,200.0,3.6666666666666665,5.849742259715653
0.5,835.0,200.0,3.6666666666666665,6.042323668707075
0.5,904.0,200.0,3.6666666666666665,6.151420922676826
0.5,979.0,200.0,3.6666666666666665,6.099944502330335
0.5,1059.0,200.0,3.6666666666666665,6.3236784331931535
0.5,1147.0,200.0,3.6666666666666665,6.508691852789211
0.5,1242.0,200.0,3.6666666666666665,6.739833303606933
0.5,1344.0,200.0,3.6666666666666665,6.913709796211995
0.5,1455.0,200.0,3.6666666666666665,6.878465246796971
0.5,1576.0,200.0,3.6666666666666665,7.045137201213498
0.5,1706.0,200.0,3.6666666666666665,7.330136984288327
0.5,1847.0,200.0,3.6666666666666665,7.349568969409265
0.5,2000.0,200.0,3.6666666666666665,7.25275826348072
0.5,20.0,200.0,5.0,0.18892833073817067
0.5,21.0,200.0,5.0,0.2100463903278849
0.5,23.0,200.0,5.0,0.21088110220714762
0.5,25.0,200.0,5.0,0.21019560060869416
0.5,27.0,200.0,5.0,0.21620533686617546
0.5,29.0,200.0,5.0,0.2200091909667811
0.5,31.0,200.0,5.0,0.22854079390850912
0.5,34.0,200.0,5.0,0.2581809507014209
0.5,36.0,200.0,5.0,0.2591383207852494
0.5,39.0,200.0,5.0,0.3519224541264334
0.5,43.0,200.0,5.0,0.3775730718595996
0.5,46.0,200.0,5.0,0.42492948060035235
0.5,50.0,200.0,5.0,0.45485673794659504
0.5,54.0,200.0,5.0,0.46824539682985694
0.5,58.0,200.0,5.0,0.6308937022009382
0.5,63.0,200.0,5.0,0.7333339115771228
0.5,68.0,200.0,5.0,0.7883301799713349
0.5,73.0,200.0,5.0,0.8161452678389235
0.5,79.0,200.0,5.0,0.9650613715219821
0.5,85.0,200.0,5.0,1.1289730583175173
0.5,92.0,200.0,5.0,1.2772094768218727
0.5,100.0,200.0,5.0,1.3862476345195613
0.5,108.0,200.0,5.0,1.6883961827871568
0.5,116.0,200.0,5.0,2.077446107914382
0.5,126.0,200.0,5.0,2.5640306615762496
0.5,136.0,200.0,5.0,2.797614882846732
0.5,147.0,200.0,5.0,2.9736330854233723
0.5,158.0,200.0,5.0,3.9376201777291877
0.5,171.0,200.0,5.0,7.700957827887716
0.5,185.0,200.0,5.0,13.470846169273546
0.5,200.0,200.0,5.0,280.8011844118899
0.5,216.0,200.0,5.0,13.916069730618576
0.5,234.0,200.0,5.0,11.554092485620117
0.5,254.0,200.0,5.0,7.004625620713915
0.5,275.0,200.0,5.0,6.615743268255057
0.5,297.0,200.0,5.0,5.49097496091956
0.5,322.0,200.0,5.0,5.318062723705484
0.5,348.0,200.0,5.0,5.444175160063983
0.5,377.0,200.0,5.0,5.678418189613906
0.5,408.0,200.0,5.0,5.811953097364908
0.5,442.0,200.0,5.0,6.221749778749439
0.5,479.0,200.0,5.0,6.407666221490048
0.5,518.0,200.0,5.0,6.621642631049312
0.5,561.0,200.0,5.0,6.822147675896145
0.5,608.0,200.0,5.0,6.783426081459832
0.5,658.0,200.0,5.0,7.396634542803775
0.5,712.0,200.0,5.0,7.806807557428547
0.5,771.0,200.0,5.0,7.737794567131912
0.5,835.0,200.0,5.0,8.00762269696217
0.5,904.0,200.0,5.0,8.171128213351695
0.5,979.0,200.0,5.0,8.0934292310096
0.5,1059.0,200.0,5.0,8.402158712518936
0.5,1147.0,200.0,5.0,8.663356360385016
0.5,1242.0,200.0,5.0,8.980628585875676
0.5,1344.0,200.0,5.0,9.214469866936634
0.5,1455.0,200.0,5.0,9.176894863822355
0.5,1576.0,200.0,5.0,9.397703890072373
0.5,1706.0,200.0,5.0,9.795840079917598
0.5,1847.0,200.0,5.0,9.838444432851581
0.5,2000.0,200.0,5.0,9.70950918888074
1.0,20.0,200.0,1.0,0.19507959743832884
1.0,21.0,200.0,1.0,0.2161560387174226
1.0,23.0,200.0,1.0,0.217039596244479
1.0,25.0,200.0,1.0,0.21650771232018973
1.0,27.0,200.0,1.0,0.2229439868619745
1.0,29.0,200.0,1.0,0.22624840690837983
1.0,31.0,200.0,1.0,0.23532694898532727
1.0,34.0,200.0,1.0,0.26418706823439897
1.0,36.0,200.0,1.0,0.2647760832488647
1.0,39.0,200.0,1.0,0.3597986431528679
1.0,43.0,200.0,1.0,0.38489753654199116
1.0,46.0,200.0,1.0,0.43315050716794523
1.0,50.0,200.0,1.0,0.46212681606129835
1.0,54.0,200.0,1.0,0.4750759829291139
1.0,58.0,200.0,1.0,0.6381123105595562
1.0,63.0,200.0,1.0,0.7386710292775733
1.0,68.0,200.0,1.0,0.7943685249006314
1.0,73.0,200.0,1.0,0.8270298638264209
