ρ,p,n,snr,MSE
-0.3,27.0,200.0,2.333333333333333,0.2502565822271472
-0.3,29.0,200.0,2.333333333333333,0.2709460991964458
-0.3,31.0,200.0,2.333333333333333,0.2832115271846106
-0.3,34.0,200.0,2.333333333333333,0.2989083107738625
-0.3,36.0,200.0,2.333333333333333,0.3044714169913319
-0.3,39.0,200.0,2.333333333333333,0.33723183212071234
-0.3,43.0,200.0,2.333333333333333,0.35072304255391135
-0.3,46.0,200.0,2.333333333333333,0.3676496865189645
-0.3,50.0,200.0,2.333333333333333,0.38816916399839546
-0.3,54.0,200.0,2.333333333333333,0.4485751047350217
-0.3,58.0,200.0,2.333333333333333,0.56573056602547
-0.3,63.0,200.0,2.333333333333333,0.6048232439375355
-0.3,68.0,200.0,2.333333333333333,0.6976699716209346
-0.3,73.0,200.0,2.333333333333333,0.7216605888401243
-0.3,79.0,200.0,2.333333333333333,0.8397105818199869
-0.3,85.0,200.0,2.333333333333333,0.9094695395465595
-0.3,92.0,200.0,2.333333333333333,1.2328313751383462
-0.3,100.0,200.0,2.333333333333333,1.3174580996945242
-0.3,108.0,200.0,2.333333333333333,1.3972550944215294
-0.3,116.0,200.0,2.333333333333333,1.6582793758180203
-0.3,126.0,200.0,2.333333333333333,2.2530620240860832
-0.3,136.0,200.0,2.333333333333333,2.2925784258570863
-0.3,147.0,200.0,2.333333333333333,2.8592974780234965
-0.3,158.0,200.0,2.333333333333333,3.6018325235769475
-0.3,171.0,200.0,2.333333333333333,6.11605427325491
-0.3,185.0,200.0,2.333333333333333,11.61890015787869
-0.3,200.0,200.0,2.333333333333333,7369.896545377249
-0.3,216.0,200.0,2.333333333333333,16.641941711165376
-0.3,234.0,200.0,2.333333333333333,8.243206988469886
-0.3,254.0,200.0,2.333333333333333,4.625784043121123
-0.3,275.0,200.0,2.333333333333333,3.4854716111968416
-0.3,297.0,200.0,2.333333333333333,3.0312172320209556
-0.3,322.0,200.0,2.333333333333333,2.737239133966157
-0.3,348.0,200.0,2.333333333333333,2.4950772685732505
-0.3,377.0,200.0,2.333333333333333,2.283491586535542
-0.3,408.0,200.0,2.333333333333333,2.085577759623835
-0.3,442.0,200.0,2.333333333333333,2.0068515946264536
