λ,μ,p,n,snr,n_iter,MSE
1.0,1.0,2000.0,200.0,5.0,40152012.5,4.30776280962271
1.0,3.0,20.0,200.0,1.0,40152012.5,0.13569065395897176
1.0,3.0,20.0,200.0,2.333333333333333,40152012.5,0.1356906539589717
1.0,3.0,20.0,200.0,3.6666666666666665,40152012.5,0.13569065395897165
1.0,3.0,20.0,200.0,5.0,40152012.5,0.1356906539589716
1.0,3.0,21.0,200.0,1.0,40152012.5,0.13478892175869034
1.0,3.0,21.0,200.0,2.333333333333333,40152012.5,0.13478892175869034
1.0,3.0,21.0,200.0,3.6666666666666665,40152012.5,0.13478892175869028
1.0,3.0,21.0,200.0,5.0,40152012.5,0.13478892175869034
1.0,3.0,23.0,200.0,1.0,40152012.5,0.1384189117835787
1.0,3.0,23.0,200.0,2.333333333333333,40152012.5,0.13841891178357885
1.0,3.0,23.0,200.0,3.6666666666666665,40152012.5,0.13841891178357885
1.0,3.0,23.0,200.0,5.0,40152012.5,0.138418911783579
1.0,3.0,25.0,200.0,1.0,40152012.5,0.14127734703610512
1.0,3.0,25.0,200.0,2.333333333333333,40152012.5,0.14127734703610512
1.0,3.0,25.0,200.0,3.6666666666666665,40152012.5,0.14127734703610506
1.0,3.0,25.0,200.0,5.0,40152012.5,0.141277347036105
1.0,3.0,27.0,200.0,1.0,40152012.5,0.1449057348287801
1.0,3.0,27.0,200.0,2.333333333333333,40152012.5,0.14490573482878005
1.0,3.0,27.0,200.0,3.6666666666666665,40152012.5,0.1449057348287799
1.0,3.0,27.0,200.0,5.0,40152012.5,0.1449057348287798
1.0,3.0,29.0,200.0,1.0,40152012.5,0.1571540642885879
1.0,3.0,29.0,200.0,2.333333333333333,40152012.5,0.15715406428858786
1.0,3.0,29.0,200.0,3.6666666666666665,40152012.5,0.1571540642885878
1.0,3.0,29.0,200.0,5.0,40152012.5,0.1571540642885879
1.0,3.0,31.0,200.0,1.0,40152012.5,0.16694049599828265
1.0,3.0,31.0,200.0,2.333333333333333,40152012.5,0.16694049599828265
1.0,3.0,31.0,200.0,3.6666666666666665,40152012.5,0.16694049599828265
1.0,3.0,31.0,200.0,5.0,40152012.5,0.1669404959982827
1.0,3.0,34.0,200.0,1.0,40152012.5,0.21450841204067375
1.0,3.0,34.0,200.0,2.333333333333333,40152012.5,0.2145084120406739
1.0,3.0,34.0,200.0,3.6666666666666665,40152012.5,0.21450841204067406
1.0,3.0,34.0,200.0,5.0,40152012.5,0.2145084120406739
1.0,3.0,36.0,200.0,1.0,40152012.5,0.2674751583647245
1.0,3.0,36.0,200.0,2.333333333333333,40152012.5,0.2674751583647245
1.0,3.0,36.0,200.0,3.6666666666666665,40152012.5,0.2674751583647246
1.0,3.0,36.0,200.0,5.0,40152012.5,0.2674751583647248
1.0,3.0,39.0,200.0,1.0,40152012.5,0.2906848006891
1.0,3.0,39.0,200.0,2.333333333333333,40152012.5,0.29068480068909996
1.0,3.0,39.0,200.0,3.6666666666666665,40152012.5,0.2906848006890997
1.0,3.0,39.0,200.0,5.0,40152012.5,0.29068480068909963
1.0,3.0,43.0,200.0,1.0,40152012.5,0.3308457634119603
1.0,3.0,43.0,200.0,2.333333333333333,40152012.5,0.33084576341196015
1.0,3.0,43.0,200.0,3.6666666666666665,40152012.5,0.3308457634119601
1.0,3.0,43.0,200.0,5.0,40152012.5,0.33084576341196015
1.0,3.0,46.0,200.0,1.0,40152012.5,0.3776996256054894
1.0,3.0,46.0,200.0,2.333333333333333,40152012.5,0.3776996256054892
1.0,3.0,46.0,200.0,3.6666666666666665,40152012.5,0.37769962560548886
1.0,3.0,46.0,200.0,5.0,40152012.5,0.3776996256054887
1.0,3.0,50.0,200.0,1.0,40152012.5,0.3864658303566915
1.0,3.0,50.0,200.0,2.333333333333333,40152012.5,0.3864658303566912
1.0,3.0,50.0,200.0,3.6666666666666665,40152012.5,0.386465830356691
1.0,3.0,50.0,200.0,5.0,40152012.5,0.38646583035669113
1.0,3.0,54.0,200.0,1.0,40152012.5,0.43011342809007147
1.0,3.0,54.0,200.0,2.333333333333333,40152012.5,0.4301134280900717
1.0,3.0,54.0,200.0,3.6666666666666665,40152012.5,0.4301134280900716
1.0,3.0,54.0,200.0,5.0,40152012.5,0.4301134280900718
1.0,3.0,58.0,200.0,1.0,40152012.5,0.5153776767341278
1.0,3.0,58.0,200.0,2.333333333333333,40152012.5,0.5153776767341276
1.0,3.0,58.0,200.0,3.6666666666666665,40152012.5,0.5153776767341275
1.0,3.0,58.0,200.0,5.0,40152012.5,0.5153776767341272
1.0,3.0,63.0,200.0,1.0,40152012.5,0.5592805788201651
1.0,3.0,63.0,200.0,2.333333333333333,40152012.5,0.5592805788201654
1.0,3.0,63.0,200.0,3.6666666666666665,40152012.5,0.559280578820166
1.0,3.0,63.0,200.0,5.0,40152012.5,0.5592805788201662
1.0,3.0,68.0,200.0,1.0,40152012.5,0.705715072251843
1.0,3.0,68.0,200.0,2.333333333333333,40152012.5,0.7057150722518433
1.0,3.0,68.0,200.0,3.6666666666666665,40152012.5,0.7057150722518435
1.0,3.0,68.0,200.0,5.0,40152012.5,0.7057150722518439
1.0,3.0,73.0,200.0,1.0,40152012.5,0.809219715849703
1.0,3.0,73.0,200.0,2.333333333333333,40152012.5,0.8092197158497034
1.0,3.0,73.0,200.0,3.6666666666666665,40152012.5,0.8092197158497039
1.0,3.0,73.0,200.0,5.0,40152012.5,0.8092197158497043
1.0,3.0,79.0,200.0,1.0,40152012.5,0.8759322328376213
1.0,3.0,79.0,200.0,2.333333333333333,40152012.5,0.8759322328376211
1.0,3.0,79.0,200.0,3.6666666666666665,40152012.5,0.8759322328376211
1.0,3.0,79.0,200.0,5.0,40152012.5,0.8759322328376205
1.0,3.0,85.0,200.0,1.0,40152012.5,1.0112086648518968
1.0,3.0,85.0,200.0,2.333333333333333,40152012.5,1.011208664851897
1.0,3.0,85.0,200.0,3.6666666666666665,40152012.5,1.0112086648518983
1.0,3.0,85.0,200.0,5.0,40152012.5,1.0112086648518983
1.0,3.0,92.0,200.0,1.0,40152012.5,1.102375247339594
1.0,3.0,92.0,200.0,2.333333333333333,40152012.5,1.1023752473395931
1.0,3.0,92.0,200.0,3.6666666666666665,40152012.5,1.1023752473395922
1.0,3.0,92.0,200.0,5.0,40152012.5,1.1023752473395914
1.0,3.0,100.0,200.0,1.0,40152012.5,1.3539903101220583
1.0,3.0,100.0,200.0,2.333333333333333,40152012.5,1.3539903101220587
1.0,3.0,100.0,200.0,3.6666666666666665,40152012.5,1.3539903101220587
1.0,3.0,100.0,200.0,5.0,40152012.5,1.3539903101220592
1.0,3.0,108.0,200.0,1.0,40152012.5,1.5087707355380324
