λ,μ,p,n,tau,snr,MSE
1.0,1.0,377.0,200.0,0.0,3.6666666666666665,2.9156213509242015
1.0,1.0,377.0,200.0,0.9122448979591836,3.6666666666666665,2.367343604241533
1.0,1.0,408.0,200.0,0.0,3.6666666666666665,2.8358115791719607
1.0,1.0,408.0,200.0,0.5061224489795918,3.6666666666666665,2.40119146874846
1.0,1.0,442.0,200.0,0.0,3.6666666666666665,2.783066217300755
1.0,1.0,442.0,200.0,0.5061224489795918,3.6666666666666665,2.4205367637967385
1.0,1.0,479.0,200.0,0.0,3.6666666666666665,2.830995397687137
1.0,1.0,479.0,200.0,0.9122448979591836,3.6666666666666665,2.4975588243517945
1.0,1.0,518.0,200.0,0.0,3.6666666666666665,2.833254773014463
1.0,1.0,518.0,200.0,0.9122448979591836,3.6666666666666665,2.534333248362732
1.0,1.0,561.0,200.0,0.0,3.6666666666666665,2.8913819444756177
1.0,1.0,561.0,200.0,0.9122448979591836,3.6666666666666665,2.6531151702759743
1.0,1.0,608.0,200.0,0.0,3.6666666666666665,3.0116384718682303
1.0,1.0,608.0,200.0,0.9122448979591836,3.6666666666666665,2.798933138145404
1.0,1.0,658.0,200.0,0.0,3.6666666666666665,3.049146712104274
1.0,1.0,658.0,200.0,1.3183673469387756,3.6666666666666665,2.859729489688524
1.0,1.0,712.0,200.0,0.0,3.6666666666666665,3.097507864738514
1.0,1.0,712.0,200.0,0.9122448979591836,3.6666666666666665,2.9219324511408375
1.0,1.0,771.0,200.0,0.0,3.6666666666666665,3.1383991429420406
1.0,1.0,771.0,200.0,0.9122448979591836,3.6666666666666665,2.9865697715386035
1.0,1.0,835.0,200.0,0.0,3.6666666666666665,3.1551503574919395
1.0,1.0,835.0,200.0,0.9122448979591836,3.6666666666666665,3.0233833974622204
1.0,1.0,904.0,200.0,0.0,3.6666666666666665,3.1578851483117405
1.0,1.0,904.0,200.0,0.9122448979591836,3.6666666666666665,3.045716883776462
1.0,1.0,979.0,200.0,0.0,3.6666666666666665,3.2203613611812103
1.0,1.0,979.0,200.0,1.3183673469387756,3.6666666666666665,3.122778060485678
1.0,1.0,1059.0,200.0,0.0,3.6666666666666665,3.2218001248581145
1.0,1.0,1059.0,200.0,1.7244897959183674,3.6666666666666665,3.134826241141704
1.0,1.0,1147.0,200.0,0.0,3.6666666666666665,3.270490870346903
1.0,1.0,1147.0,200.0,0.9122448979591836,3.6666666666666665,3.20431665100655
1.0,1.0,1242.0,200.0,0.0,3.6666666666666665,3.2528280827788305
1.0,1.0,1242.0,200.0,0.1,3.6666666666666665,3.2438046249851227
1.0,1.0,1344.0,200.0,0.0,3.6666666666666665,3.259153442748844
1.0,1.0,1344.0,200.0,0.1,3.6666666666666665,3.252255941335763
1.0,1.0,1455.0,200.0,0.0,3.6666666666666665,3.2836825724639946
1.0,1.0,1455.0,200.0,0.1,3.6666666666666665,3.278690808351803
1.0,1.0,1576.0,200.0,0.0,3.6666666666666665,3.3358317486563056
1.0,1.0,1576.0,200.0,0.1,3.6666666666666665,3.3313303898060402
1.0,1.0,1706.0,200.0,0.0,3.6666666666666665,3.352537889718239
1.0,1.0,1706.0,200.0,2.1306122448979594,3.6666666666666665,3.318748584213035
1.0,1.0,1847.0,200.0,0.0,3.6666666666666665,3.376784906309094
1.0,1.0,1847.0,200.0,4.5673469387755095,3.6666666666666665,3.3551683525613467
1.0,1.0,2000.0,200.0,0.0,3.6666666666666665,3.4032897104427406
1.0,1.0,2000.0,200.0,0.1,3.6666666666666665,3.4006603946286793
1.0,1.0,20.0,200.0,0.0,5.0,0.11997301582906561
1.0,1.0,20.0,200.0,0.1,5.0,0.1475241725901083
1.0,1.0,21.0,200.0,0.0,5.0,0.14164017985195165
1.0,1.0,21.0,200.0,0.1,5.0,0.1483978206476723
1.0,1.0,23.0,200.0,0.0,5.0,0.13969827520115677
1.0,1.0,23.0,200.0,0.1,5.0,0.14805904496783345
1.0,1.0,25.0,200.0,0.0,5.0,0.15145452276625512
1.0,1.0,25.0,200.0,0.1,5.0,0.1474947410410624
1.0,1.0,27.0,200.0,0.0,5.0,0.15414528045566872
1.0,1.0,27.0,200.0,0.1,5.0,0.14684907149265428
1.0,1.0,29.0,200.0,0.0,5.0,0.15590513815510165
1.0,1.0,29.0,200.0,0.1,5.0,0.15214147177415452
1.0,1.0,31.0,200.0,0.0,5.0,0.1567747012573474
1.0,1.0,31.0,200.0,0.1,5.0,0.1500497860240138
1.0,1.0,34.0,200.0,0.0,5.0,0.15674242569914154
